channel,version,revision,binary,platform,url,http_status
stable,136.0.7103.92,r1440670,chrome,linux64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/linux64/chrome-linux64.zip,200
stable,136.0.7103.92,r1440670,chrome,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/mac-arm64/chrome-mac-arm64.zip,200
stable,136.0.7103.92,r1440670,chrome,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/mac-x64/chrome-mac-x64.zip,200
stable,136.0.7103.92,r1440670,chrome,win32,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win32/chrome-win32.zip,200
stable,136.0.7103.92,r1440670,chrome,win64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win64/chrome-win64.zip,200
stable,136.0.7103.92,r1440670,chromedriver,linux64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/linux64/chromedriver-linux64.zip,200
stable,136.0.7103.92,r1440670,chromedriver,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/mac-arm64/chromedriver-mac-arm64.zip,200
stable,136.0.7103.92,r1440670,chromedriver,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/mac-x64/chromedriver-mac-x64.zip,200
stable,136.0.7103.92,r1440670,chromedriver,win32,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win32/chromedriver-win32.zip,200
stable,136.0.7103.92,r1440670,chromedriver,win64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win64/chromedriver-win64.zip,200
stable,136.0.7103.92,r1440670,chrome-headless-shell,linux64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/linux64/chrome-headless-shell-linux64.zip,200
stable,136.0.7103.92,r1440670,chrome-headless-shell,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/mac-arm64/chrome-headless-shell-mac-arm64.zip,200
stable,136.0.7103.92,r1440670,chrome-headless-shell,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/mac-x64/chrome-headless-shell-mac-x64.zip,200
stable,136.0.7103.92,r1440670,chrome-headless-shell,win32,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win32/chrome-headless-shell-win32.zip,200
stable,136.0.7103.92,r1440670,chrome-headless-shell,win64,https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win64/chrome-headless-shell-win64.zip,200
beta,137.0.7151.6,r1453031,chrome,linux64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/linux64/chrome-linux64.zip,200
beta,137.0.7151.6,r1453031,chrome,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/mac-arm64/chrome-mac-arm64.zip,200
beta,137.0.7151.6,r1453031,chrome,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/mac-x64/chrome-mac-x64.zip,200
beta,137.0.7151.6,r1453031,chrome,win32,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/win32/chrome-win32.zip,200
beta,137.0.7151.6,r1453031,chrome,win64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/win64/chrome-win64.zip,200
beta,137.0.7151.6,r1453031,chromedriver,linux64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/linux64/chromedriver-linux64.zip,200
beta,137.0.7151.6,r1453031,chromedriver,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/mac-arm64/chromedriver-mac-arm64.zip,200
beta,137.0.7151.6,r1453031,chromedriver,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/mac-x64/chromedriver-mac-x64.zip,200
beta,137.0.7151.6,r1453031,chromedriver,win32,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/win32/chromedriver-win32.zip,200
beta,137.0.7151.6,r1453031,chromedriver,win64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/win64/chromedriver-win64.zip,200
beta,137.0.7151.6,r1453031,chrome-headless-shell,linux64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/linux64/chrome-headless-shell-linux64.zip,200
beta,137.0.7151.6,r1453031,chrome-headless-shell,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/mac-arm64/chrome-headless-shell-mac-arm64.zip,200
beta,137.0.7151.6,r1453031,chrome-headless-shell,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/mac-x64/chrome-headless-shell-mac-x64.zip,200
beta,137.0.7151.6,r1453031,chrome-headless-shell,win32,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/win32/chrome-headless-shell-win32.zip,200
beta,137.0.7151.6,r1453031,chrome-headless-shell,win64,https://storage.googleapis.com/chrome-for-testing-public/137.0.7151.6/win64/chrome-headless-shell-win64.zip,200
dev,138.0.7153.0,r1453769,chrome,linux64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/linux64/chrome-linux64.zip,200
dev,138.0.7153.0,r1453769,chrome,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/mac-arm64/chrome-mac-arm64.zip,200
dev,138.0.7153.0,r1453769,chrome,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/mac-x64/chrome-mac-x64.zip,200
dev,138.0.7153.0,r1453769,chrome,win32,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/win32/chrome-win32.zip,200
dev,138.0.7153.0,r1453769,chrome,win64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/win64/chrome-win64.zip,200
dev,138.0.7153.0,r1453769,chromedriver,linux64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/linux64/chromedriver-linux64.zip,200
dev,138.0.7153.0,r1453769,chromedriver,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/mac-arm64/chromedriver-mac-arm64.zip,200
dev,138.0.7153.0,r1453769,chromedriver,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/mac-x64/chromedriver-mac-x64.zip,200
dev,138.0.7153.0,r1453769,chromedriver,win32,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/win32/chromedriver-win32.zip,200
dev,138.0.7153.0,r1453769,chromedriver,win64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/win64/chromedriver-win64.zip,200
dev,138.0.7153.0,r1453769,chrome-headless-shell,linux64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/linux64/chrome-headless-shell-linux64.zip,200
dev,138.0.7153.0,r1453769,chrome-headless-shell,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/mac-arm64/chrome-headless-shell-mac-arm64.zip,200
dev,138.0.7153.0,r1453769,chrome-headless-shell,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/mac-x64/chrome-headless-shell-mac-x64.zip,200
dev,138.0.7153.0,r1453769,chrome-headless-shell,win32,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/win32/chrome-headless-shell-win32.zip,200
dev,138.0.7153.0,r1453769,chrome-headless-shell,win64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7153.0/win64/chrome-headless-shell-win64.zip,200
canary,138.0.7166.0,r1456678,chrome,linux64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/linux64/chrome-linux64.zip,200
canary,138.0.7166.0,r1456678,chrome,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/mac-arm64/chrome-mac-arm64.zip,200
canary,138.0.7166.0,r1456678,chrome,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/mac-x64/chrome-mac-x64.zip,200
canary,138.0.7166.0,r1456678,chrome,win32,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/win32/chrome-win32.zip,200
canary,138.0.7166.0,r1456678,chrome,win64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/win64/chrome-win64.zip,200
canary,138.0.7166.0,r1456678,chromedriver,linux64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/linux64/chromedriver-linux64.zip,200
canary,138.0.7166.0,r1456678,chromedriver,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/mac-arm64/chromedriver-mac-arm64.zip,200
canary,138.0.7166.0,r1456678,chromedriver,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/mac-x64/chromedriver-mac-x64.zip,200
canary,138.0.7166.0,r1456678,chromedriver,win32,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/win32/chromedriver-win32.zip,200
canary,138.0.7166.0,r1456678,chromedriver,win64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/win64/chromedriver-win64.zip,200
canary,138.0.7166.0,r1456678,chrome-headless-shell,linux64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/linux64/chrome-headless-shell-linux64.zip,200
canary,138.0.7166.0,r1456678,chrome-headless-shell,mac-arm64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/mac-arm64/chrome-headless-shell-mac-arm64.zip,200
canary,138.0.7166.0,r1456678,chrome-headless-shell,mac-x64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/mac-x64/chrome-headless-shell-mac-x64.zip,200
canary,138.0.7166.0,r1456678,chrome-headless-shell,win32,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/win32/chrome-headless-shell-win32.zip,200
canary,138.0.7166.0,r1456678,chrome-headless-shell,win64,https://storage.googleapis.com/chrome-for-testing-public/138.0.7166.0/win64/chrome-headless-shell-win64.zip,200
